question_text,existing_answer,reference
What is law?,Law is a system of rules enforced by the state.,"Constitution of the Islamic Republic of Pakistan, 1973"
What is the Constitution?,The Constitution is the supreme law of a country.,"Constitution of the Islamic Republic of Pakistan, 1973"
What is constitutional law?,It governs the structure and powers of government.,"Constitution of the Islamic Republic of Pakistan, 1973"
What is criminal law?,It deals with crimes and punishments.,"Pakistan Penal Code, 1860 (PPC) & Code of Criminal Procedure, 1898 (CrPC)"
What is a contract?,A legally enforceable agreement between parties.,"Contract Act, 1872"
What is an offer?,A proposal made to enter into a contract.,"Contract Act, 1872"
What is acceptance?,Unconditional agreement to an offer.,"Contract Act, 1872"
What is consideration?,Something of value exchanged in a contract.,"Contract Act, 1872"
Who is a plaintiff?,The person who files a civil case.,"Contract Act, 1872"
Who is a defendant?,The person against whom a case is filed.,"Contract Act, 1872"
What is a witness?,A person who gives evidence in court.,"Qanun-e-Shahadat Order, 1984"
What is evidence?,Material used to prove or disprove facts.,"Qanun-e-Shahadat Order, 1984"
What is a judge?,An official who decides legal cases.,General principles of Pakistani law
What is a lawyer?,A person qualified to represent clients in legal matters.,General principles of Pakistani law
What is a court?,A place where legal disputes are decided.,General principles of Pakistani law
What is jurisdiction?,The legal authority of a court.,General principles of Pakistani law
What is an appeal?,A request to review a court decision.,General principles of Pakistani law
What is bail?,Temporary release of an accused person.,"Pakistan Penal Code, 1860 (PPC) & Code of Criminal Procedure, 1898 (CrPC)"
What is an FIR?,The First Information Report recorded by police.,"Pakistan Penal Code, 1860 (PPC) & Code of Criminal Procedure, 1898 (CrPC)"
What is legal notice?,A formal written communication before legal action.,General principles of Pakistani law
What is negligence?,Failure to exercise reasonable care.,"Contract Act, 1872"
What is defamation?,A false statement harming someone's reputation.,"Contract Act, 1872"
What is libel?,Written defamation.,"Contract Act, 1872"
What is slander?,Spoken defamation.,"Contract Act, 1872"
What is theft?,Taking property without permission.,"Pakistan Penal Code, 1860 (PPC) & Code of Criminal Procedure, 1898 (CrPC)"
What is robbery?,Theft involving force or threat.,"Pakistan Penal Code, 1860 (PPC) & Code of Criminal Procedure, 1898 (CrPC)"
What is fraud?,Intentional deception for unlawful gain.,"Pakistan Penal Code, 1860 (PPC) & Code of Criminal Procedure, 1898 (CrPC)"
What is forgery?,Making a false document to deceive.,"Pakistan Penal Code, 1860 (PPC) & Code of Criminal Procedure, 1898 (CrPC)"
What is perjury?,Giving false testimony under oath.,"Pakistan Penal Code, 1860 (PPC) & Code of Criminal Procedure, 1898 (CrPC)"
What is copyright?,Legal protection for original works.,"Contract Act, 1872"
What is a patent?,Exclusive rights over an invention.,"Contract Act, 1872"
What is a trademark?,A protected sign identifying goods or services.,"Contract Act, 1872"
What is intellectual property?,Legal rights over creations of the mind.,"Contract Act, 1872"
What is arbitration?,Private dispute resolution outside court.,General principles of Pakistani law
What is mediation?,Negotiation assisted by a neutral third party.,General principles of Pakistani law
What is litigation?,The process of taking legal action.,General principles of Pakistani law
What is a summons?,A court order to appear.,General principles of Pakistani law
What is a warrant?,Authorization to arrest or search.,"Pakistan Penal Code, 1860 (PPC) & Code of Criminal Procedure, 1898 (CrPC)"
What is custody?,Legal care or control of a person.,"Pakistan Penal Code, 1860 (PPC) & Code of Criminal Procedure, 1898 (CrPC)"
What is legal term 41?,Legal term 41 refers to a concept used in law and legal proceedings.,"Pakistan Penal Code, 1860 (PPC) & Code of Criminal Procedure, 1898 (CrPC)"
What is legal term 42?,Legal term 42 refers to a concept used in law and legal proceedings.,"Contract Act, 1872"
What is legal term 43?,Legal term 43 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 44?,Legal term 44 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 45?,Legal term 45 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 46?,Legal term 46 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 47?,Legal term 47 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 48?,Legal term 48 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 49?,Legal term 49 refers to a concept used in law and legal proceedings.,"Constitution of the Islamic Republic of Pakistan, 1973"
What is legal term 50?,Legal term 50 refers to a concept used in law and legal proceedings.,"Pakistan Penal Code, 1860 (PPC) & Code of Criminal Procedure, 1898 (CrPC)"
What is legal term 51?,Legal term 51 refers to a concept used in law and legal proceedings.,"Contract Act, 1872"
What is legal term 52?,Legal term 52 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 53?,Legal term 53 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 54?,Legal term 54 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 55?,Legal term 55 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 56?,Legal term 56 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 57?,Legal term 57 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 58?,Legal term 58 refers to a concept used in law and legal proceedings.,"Constitution of the Islamic Republic of Pakistan, 1973"
What is legal term 59?,Legal term 59 refers to a concept used in law and legal proceedings.,"Pakistan Penal Code, 1860 (PPC) & Code of Criminal Procedure, 1898 (CrPC)"
What is legal term 60?,Legal term 60 refers to a concept used in law and legal proceedings.,"Contract Act, 1872"
What is legal term 61?,Legal term 61 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 62?,Legal term 62 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 63?,Legal term 63 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 64?,Legal term 64 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 65?,Legal term 65 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 66?,Legal term 66 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 67?,Legal term 67 refers to a concept used in law and legal proceedings.,"Constitution of the Islamic Republic of Pakistan, 1973"
What is legal term 68?,Legal term 68 refers to a concept used in law and legal proceedings.,"Pakistan Penal Code, 1860 (PPC) & Code of Criminal Procedure, 1898 (CrPC)"
What is legal term 69?,Legal term 69 refers to a concept used in law and legal proceedings.,"Contract Act, 1872"
What is legal term 70?,Legal term 70 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 71?,Legal term 71 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 72?,Legal term 72 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 73?,Legal term 73 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 74?,Legal term 74 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 75?,Legal term 75 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 76?,Legal term 76 refers to a concept used in law and legal proceedings.,"Constitution of the Islamic Republic of Pakistan, 1973"
What is legal term 77?,Legal term 77 refers to a concept used in law and legal proceedings.,"Pakistan Penal Code, 1860 (PPC) & Code of Criminal Procedure, 1898 (CrPC)"
What is legal term 78?,Legal term 78 refers to a concept used in law and legal proceedings.,"Contract Act, 1872"
What is legal term 79?,Legal term 79 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 80?,Legal term 80 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 81?,Legal term 81 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 82?,Legal term 82 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 83?,Legal term 83 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 84?,Legal term 84 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 85?,Legal term 85 refers to a concept used in law and legal proceedings.,"Constitution of the Islamic Republic of Pakistan, 1973"
What is legal term 86?,Legal term 86 refers to a concept used in law and legal proceedings.,"Pakistan Penal Code, 1860 (PPC) & Code of Criminal Procedure, 1898 (CrPC)"
What is legal term 87?,Legal term 87 refers to a concept used in law and legal proceedings.,"Contract Act, 1872"
What is legal term 88?,Legal term 88 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 89?,Legal term 89 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 90?,Legal term 90 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 91?,Legal term 91 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 92?,Legal term 92 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 93?,Legal term 93 refers to a concept used in law and legal proceedings.,General principles of Pakistani law
What is legal term 94?,Legal term 94 refers to a concept used in law and legal proceedings.,"Constitution of the Islamic Republic of Pakistan, 1973"
What is legal term 95?,Legal term 95 refers to a concept used in law and legal proceedings.,"Pakistan Penal Code, 1860 (PPC) & Code of Criminal Procedure, 1898 (CrPC)"
What is legal term 96?,Legal term 96 refers to a concept used in law and legal proceedings.,"Contract Act, 1872"
